Source.Name,aircraft_id,qty_needed,qty_res,qty_issued,qty_turned_in,unit_price,part_number,description,pos_ref,task_number,part_qty_oh,part_qty_ava,qty_on_order
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,18-0100K0KZN10,RESTRAIN ASSY,CABIN,330-252200-02-1,1.0,1.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,4.0,0.0,4.0,0,0.0,18-0100K0KZN10,RESTRAIN ASSY,CABIN,330-252200-02-1,1.0,1.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,2-16SC1,STATIC DISCHARGER,AVIO,330-236100-02-1-2,5.0,5.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,2.0,0.0,2.0,0,0.0,2-175N497-70,PACKING PREFORMED,AFT,330-38-HWI-10-B,20.0,18.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,2.0,0.0,1.0,0,0.0,2-266N602-70,PACKING,AFT,330-38-HWI-10-B,12.0,12.0,2.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,2000013-11-001,RESTRAIN ASSY,CABIN,330-25-HWI-97,6.0,5.0,2.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,2000013-11-001,RESTRAIN ASSY,CABIN,330-25-HWI-97,6.0,5.0,2.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,2000013-13-001,RESTRAIN ASSY,CABIN,330-25-HWI-97,2.0,2.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,"2024-T3 0.025""",ALUMINUM SHEET,RHW,330-ZL-500-01-1-2,0.0,0.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,2130161-101,OZONE CONVERTER,FWD NT,330-215800-01-1,1.0,1.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,2136-1-011-8011,SEAT BELT-LH,CABIN,330-252100-01-1-2,6.0,6.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,2136-1-021-8011,SEAT BELT-RH,CABIN,330-252100-01-1-2,5.0,5.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,14.0,0.0,14.0,0,0.0,216200-0,"LIFE VEST, INFANT",CABIN,330-256652-01-1,6.0,0.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,217-0362-01,DEFLECTION RESTRAINT ASSY,ENG 2,330-711246-01-2-2,0.0,0.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,2.0,0.0,2.0,0,0.0,2201859-39,HOSE,FWD NT,330-215000-24-1,2.0,0.0,2.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,0.0,0,0.0,230007,SEAL,APU,330-49-HWI-04,3.0,2.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,0.0,0,0.0,230007,SEAL,APU,330-49-HWI-03,3.0,2.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,8.0,0.0,8.0,0,0.0,24342AA-1,TRIM EDGE,CABIN,330-25-HWI-97,11.0,11.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,1843.55,2438-89-00,ANTENNA VHF,AVIO,,6.0,6.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,25S,"SMOKE DETECTOR TESTER, 2.5 Oz CAN",AVIO,330-261800-05-1,4.0,3.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,4.0,0.0,4.0,0,0.0,2611154,PIN,LDG,330-324000-19-1-2,20.0,12.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,4.0,0.0,4.0,0,0.0,2611154,PIN,LDG,330-324000-19-1-1,20.0,12.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,2612201-2,WHEEL ASSY - MLG (A330P),LDG,,0.0,0.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,2612201-3,MAIN WHEEL ASSY (A330),LDG,,0.0,0.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,267-500,CHILLER ASSY-AIR,CABIN,,0.0,0.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,2.0,0.0,2.0,0,0.0,26S22-17,STUD,FWD NT,330-ZL-121-01-1,0.0,0.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,5.0,0.0,5.0,0,0.0,27350AA,FOOTREST - FRONT EDGE 1 (LH),CABIN,330-25-HWI-24,0.0,0.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,5.0,0.0,5.0,0,0.0,27351AA,FOOTREST - FRONT EDGE 1 (RH),CABIN,330-25-HWI-24,0.0,0.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,5.0,0.0,5.0,0,0.0,27352AA,FOOTREST - FRONT AT EDGE 2 (RH),CABIN,330-25-HWI-24,30.0,30.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,5.0,0.0,5.0,0,0.0,27353AA,FOOTREST - FRONT AFT EDGE 2 (LH),CABIN,330-25-HWI-24,11.0,11.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,7.0,0.0,7.0,0,0.0,27354AA,ARMREST - FRONT EDGE 3 (RH),CABIN,330-25-HWI-24,2.0,2.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,7.0,0.0,7.0,0,0.0,27355AA,ARMREST-FRONT EDGE 3 (LH),CABIN,330-25-HWI-24,3.0,3.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,7.0,0.0,7.0,0,0.0,27356AA,BACKSHELL-AT EDGE 4 (RH),CABIN,330-25-HWI-24,2.0,2.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,7.0,0.0,7.0,0,0.0,27357AA,BACKSHELL-AFT EDGE 4 (LH),CABIN,330-25-HWI-24,3.0,3.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,10.0,0.0,10.0,0,0.0,27358AA,SEAT - STORAGE EDGE 5 (RH),CABIN,330-25-HWI-24,37.0,37.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,10.0,0.0,10.0,0,0.0,27359AA,SEAT - STORAGE EDGE 5 (LH),CABIN,330-25-HWI-24,3.0,3.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,0.0,0,0.0,2905,O'RING,AVIO,,3.0,2.0,126.0
AIRCRAFT1_mats.csv,AIRCRAFT1,8.0,0.0,8.0,0,0.0,2914114-3,SPRING,AFT,330-255101-10-1-2,0.0,0.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,2B7096-11EPA,COVER ASSY-FA SEAT UPPER BACKREST (STONE GREY),CABIN,330-252200-02-1,0.0,0.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,2.0,0.0,2.0,0,0.0,2B7097-11EPA,COVER ASSY-FA SEAT BACKREST,CABIN,330-252200-02-1,29.0,29.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,2B7097-11EPA,COVER ASSY-FA SEAT BACKREST,CABIN,330-252200-02-1,29.0,29.0,0.0
